net,length_um
clknet_0_clk_in,398.89
_0478_,345.38
_0750_,331.885
_0757_,318.275
_0911_,293.235
net2,286.015
_0773_,186.75
_0771_,178.395
d5.fll_core.strobe,175.14
clknet_4_2_0_clk_in,174.155
_0923_,172.43
_0777_,169.995
_0769_,169.785
_0912_,162.215
_0508_,160.755
_0761_,159.125
_0979_,153.11
_0775_,147.905
_0776_,146.74
_0751_,144.09
_0758_,142.845
clknet_4_8_0_clk_in,142.38
net28,141.975
_0756_,139.835
clknet_4_11_0_clk_in,138.785
d2.t_load\[33\],138.62
net19,138.09
_0760_,136.29
clk_in,134.655
_0574_,134.585
_0755_,134.015
_0968_,133.905
clknet_4_13_0_clk_in,132.52
_0754_,132.03
clknet_4_10_0_clk_in,131.93
net36,131.175
_0498_,130.285
clknet_1_0__leaf_ref_in,130.03
_0542_,129.875
net27,129.23
_0770_,128.33
_0530_,127.66
_0772_,127.545
_0774_,126.88
clknet_4_5_0_clk_in,126.35
d2.t_load\[59\],125.965
_0552_,123.975
d2.t_load\[58\],122.455
_0945_,120.85
d5.fll_core.tmp\[9\],120.61
net44,120.385
_0497_,119.95
_0934_,119.195
_0618_,118.48
clknet_4_14_0_clk_in,117.87
_0520_,117.85
_0640_,116.67
net43,115.195
_0596_,114.685
_0630_,114.61
clknet_4_4_0_clk_in,112.61
d2.t_load\[60\],111.995
d5.fll_core.tmp\[7\],111.77
net20,111.315
clknet_1_1__leaf_ref_in,110.855
d5.fll_core.tmp\[2\],110.415
net18,110.17
net42,109.94
d5.fll_core.tmp\[8\],109.905
_0954_,109.73
clknet_4_0_0_clk_in,109.615
d2.t_load\[31\],108.895
d2.t_load\[65\],108.82
_0608_,108.42
_0467_,107.33
d2.t_load\[30\],105.795
net17,105.28
clknet_4_6_0_clk_in,105.205
ref_in,104.96
_0564_,104.08
d2.t_load\[32\],103.74
clknet_4_12_0_clk_in,103.355
d2.t_load\[44\],102.805
_0881_,102.475
_0586_,101.93
clknet_4_15_0_clk_in,101.325
clknet_4_3_0_clk_in,100.82
_0957_,100.81
d5.fll_core.tmp\[6\],100.805
_0759_,100.42
d2.t_load\[64\],99.53
clknet_4_9_0_clk_in,98.385
net40,97.75
_0729_,96.835
_0490_,95.345
_0780_,95.25
net26,92.865
d5.fll_core.tmp\[5\],90.92
_0762_,90.855
d5.fll_core.tmp\[0\],90.505
net41,90.115
d2.t_load\[63\],89.68
d2.t_load\[29\],89.17
d5.fll_core.tmp\[4\],89.115
d2.t_load\[62\],88.785
clknet_4_1_0_clk_in,88.74
net21,88.41
d5.fll_core.tmp\[3\],86.645
_0652_,85.76
_0768_,85.63
_0662_,84.645
net1,84.27
d2.t_load\[61\],84.175
_0752_,82.425
_0779_,80.365
_0817_,80.18
d2.t_load\[10\],79.92
_0816_,79.115
d5.fll_core.tmp\[1\],79.055
d2.t_load\[27\],78.74
net39,78.175
d2.t_load\[28\],76.67
d2.t_load\[0\],74.795
_0778_,74.56
_0753_,74.365
_0810_,73.485
d2.t_load\[11\],73.485
_0479_,71.765
net29,71.73
_0787_,71.405
d2.t_load\[1\],70.895
_0684_,70.645
clknet_4_7_0_clk_in,70.025
d2.t_load\[26\],69.23
d2.t_load\[24\],67.985
d5.fll_core.locked,66.675
