net,length_um
clknet_0_clk_in,392.18
_0802_,345.365
_0772_,327.065
net2,316.435
_0780_,305.995
_0892_,265.6
_0784_,221.5
_0795_,219.115
_0530_,197.77
_0783_,189.93
_0574_,184.62
_0794_,181.915
_0814_,172.805
_0790_,166.215
d5.fll_core.strobe,165.015
clknet_4_10_0_clk_in,159.14
_0791_,158.77
net27,157.075
_0542_,151.49
_0792_,150.205
clknet_4_15_0_clk_in,149.045
_0608_,148.92
net18,143.77
_0618_,143.61
_0836_,142.74
_0789_,141.975
_0788_,141.625
_0848_,141.55
_0803_,141.115
_0870_,140.865
net17,140.72
clknet_4_5_0_clk_in,140.565
_0793_,140.09
_0777_,138.36
_0859_,138.18
clknet_4_3_0_clk_in,135.29
_0652_,134.57
_0847_,131.315
d2.t_load\[44\],131.215
d5.fll_core.tmp\[0\],130.6
_0519_,128.265
d5.fll_core.tmp\[2\],128.09
_0520_,127.9
_0785_,127.655
_0781_,126.915
net26,126.63
_0778_,126.065
clk_in,124.995
clknet_4_13_0_clk_in,123.29
clknet_4_8_0_clk_in,122.3
_0596_,121.83
d2.t_load\[58\],121.295
clknet_1_1__leaf_ref_in,120.695
_0773_,120.595
_0564_,120.385
_0779_,120.305
net19,120.225
d2.t_load\[33\],119.895
net43,119.86
clknet_4_9_0_clk_in,116.865
_0825_,115.94
clknet_1_0__leaf_ref_in,115.52
_0491_,115.35
_0776_,115.09
net35,114.605
clknet_4_11_0_clk_in,114.455
d2.t_load\[56\],113.65
d2.t_load\[57\],113.625
_0782_,112.88
d5.fll_core.tmp\[9\],112.34
d2.t_load\[62\],112.255
clknet_4_2_0_clk_in,111.71
clknet_4_14_0_clk_in,110.415
clknet_4_6_0_clk_in,109.86
clknet_4_4_0_clk_in,109.775
_0640_,109.73
d5.fll_core.tmp\[8\],109.71
_0662_,109.575
_0630_,108.62
_0552_,108.415
d5.fll_core.tmp\[1\],103.71
_0904_,103.44
_0586_,103.085
clknet_4_7_0_clk_in,102.8
d5.fll_core.tmp\[3\],101.585
d5.fll_core.tmp\[7\],99.235
d5.fll_core.tmp\[6\],98.54
d5.fll_core.tmp\[4\],98.03
d2.t_load\[61\],97.62
net42,97.17
d2.t_load\[32\],97.065
ref_in,96.22
_0786_,94.735
d5.fll_core.tmp\[5\],94.435
clknet_4_0_0_clk_in,93.78
_0947_,93.43
net25,93.33
_0946_,93.01
_0706_,92.795
d2.t_load\[59\],92.47
net16,92.315
_0774_,91.51
net1,89.87
clknet_4_12_0_clk_in,87.52
d2.t_load\[63\],86.585
_0893_,84.82
_0684_,84.8
d2.t_load\[60\],84.675
net36,84.315
_0775_,84.19
net34,84.005
d2.t_load\[31\],82.535
d5.fll_core.counter1.count\[6\],81.18
d2.t_load\[30\],79.92
d2.t_load\[29\],79.715
_0801_,76.51
net20,75.095
_0881_,74.885
d2.t_load\[28\],73.895
d5.fll_core.counter1.count\[9\],73.735
d2.t_load\[11\],73.565
_0674_,72.74
_0473_,70.175
net41,68.135
_0696_,67.385
d2.t_load\[10\],66.18
_0787_,64.68
d2.t_load\[12\],64.51
clknet_4_1_0_clk_in,64.395
net28,64.21
net40,63.195
d5.fll_core.counter_reset,62.96
d2.t_load\[27\],62.95
_0800_,61.445
net24,60.14
d5.fll_core.counter2.count\[4\],59.785
net15,58.895
d2.t_load\[26\],58.245
net33,57.45
d2.t_load\[65\],55.645
net8,55.42
d2.t_load\[1\],54.2
d2.r_reg\[5\],54.01
_0477_,53.89
d2.t_load\[13\],53.855
net21,53.32
d2.t_load\[14\],52.19
_0940_,52.14
d5.fll_core.counter2.count\[3\],51.58
d5.fll_core.counter1.count\[4\],51
d2.t_load\[20\],50.48
clknet_0_vco_in,49.615
d2.t_load\[2\],49.17
